id,parentId,name,size,size2
c4_14,c4,UKFTravel-related trade,3001,0.612
c4_2,c4,UKFManufacturing,955,0.552
c4_3,c4,UKFConstruction,64,0.641
c4_4,c4,UKFWholesale and motor trades,267,0.644
c4_5,c4,UKFRetail excluding motor trades,120,0.450
c4_6,c4,UKFTransportation and storage,712,0.579
c4_7,c4,UKFAccommodation and food service activities,15,0.200
c4_8,c4,UKFInformation and communication,324,0.512
c4_9,c4,UKFFinancial and insurance activities,1017,0.343
c5,c0,West Midlands,10501,0.534
c5_1,c5,UKGPrimary and utilities,93,0.645
c5_10,c5,UKGReal estate activities,5,0.800
c5_11,c5,"UKGProfessional, scientific and technical activities",300,0.563
c5_12,c5,UKGAdministrative and support service activities,436,0.622
c5_13,c5,UKGOther service industries,606,0.238
c5_14,c5,UKGTravel-related trade,4035,0.612
c5_2,c5,UKGManufacturing,870,0.711
c5_3,c5,UKGConstruction,97,0.691
c5_4,c5,UKGWholesale and motor trades,545,0.517
c5_5,c5,UKGRetail excluding motor trades,182,0.456
c5_6,c5,UKGTransportation and storage,1127,0.584
c5_7,c5,UKGAccommodation and food service activities,22,0.409
c5_8,c5,UKGInformation and communication,586,0.439
c5_9,c5,UKGFinancial and insurance activities,1596,0.324
c6,c0,East of England,14524,0.500
c6_1,c6,UKHPrimary and utilities,93,0.731
c6_10,c6,UKHReal estate activities,0,0.000
c6_11,c6,"UKHProfessional, scientific and technical activities",3023,0.287
c6_12,c6,UKHAdministrative and support service activities,1321,0.703
c6_13,c6,UKHOther service industries,537,0.277
c6_14,c6,UKHTravel-related trade,4117,0.612
c6_2,c6,UKHManufacturing,1261,0.393
c6_3,c6,UKHConstruction,182,0.698
c6_4,c6,UKHWholesale and motor trades,620,0.642
c6_5,c6,UKHRetail excluding motor trades,184,0.516
c6_6,c6,UKHTransportation and storage,1297,0.579
c6_7,c6,UKHAccommodation and food service activities,0,0.000
c6_8,c6,UKHInformation and communication,888,0.544
c6_9,c6,UKHFinancial and insurance activities,0,0.000
c7,c0,London,60615,0.426
c7_1,c7,UKIPrimary and utilities,219,0.758
c7_10,c7,UKIReal estate activities,59,0.559
c7_11,c7,"UKIProfessional, scientific and technical activities",7176,0.359
c7_12,c7,UKIAdministrative and support service activities,3442,0.528
c7_13,c7,UKIOther service industries,1624,0.282
c7_14,c7,UKITravel-related trade,11091,0.612
c7_2,c7,UKIManufacturing,756,0.649
c7_3,c7,UKIConstruction,571,0.769
c7_4,c7,UKIWholesale and motor trades,2323,0.460
c7_5,c7,UKIRetail excluding motor trades,815,0.453
c7_6,c7,UKITransportation and storage,3456,0.608
c7_7,c7,UKIAccommodation and food service activities,95,0.516
c7_8,c7,UKIInformation and communication,13890,0.376
c7_9,c7,UKIFinancial and insurance activities,15098,0.281
c8,c0,South East,26001,0.480
c8_1,c8,UKJPrimary and utilities,147,0.850
c8_10,c8,UKJReal estate activities,20,0.900
c8_11,c8,"UKJProfessional, scientific and technical activities",3774,0.296
c8_12,c8,UKJAdministrative and support service activities,1457,0.601
c8_13,c8,UKJOther service industries,908,0.290
c8_14,c8,UKJTravel-related trade,7447,0.612
c8_2,c8,UKJManufacturing,1772,0.427
c8_3,c8,UKJConstruction,241,0.714
c8_4,c8,UKJWholesale and motor trades,1348,0.532
c8_5,c8,UKJRetail excluding motor trades,284,0.458
c8_6,c8,UKJTransportation and storage,1961,0.581
c8_7,c8,UKJAccommodation and food service activities,38,0.263
c8_8,c8,UKJInformation and communication,4017,0.440
c8_9,c8,UKJFinancial and insurance activities,2586,0.326
c9,c0,South West,10086,0.503
c9_1,c9,UKKPrimary and utilities,146,0.849
c9_10,c9,UKKReal estate activities,7,0.714
c9_11,c9,"UKKProfessional, scientific and technical activities",341,0.381
c9_12,c9,UKKAdministrative and support service activities,781,0.644
c9_13,c9,UKKOther service industries,478,0.234
c9_14,c9,UKKTravel-related trade,3370,0.612
c9_2,c9,UKKManufacturing,731,0.436
c9_3,c9,UKKConstruction,86,0.570
c9_4,c9,UKKWholesale and motor trades,536,0.431
c9_5,c9,UKKRetail excluding motor trades,215,0.456
c9_6,c9,UKKTransportation and storage,640,0.583
c9_7,c9,UKKAccommodation and food service activities,18,0.444
c9_8,c9,UKKInformation and communication,558,0.582
c9_9,c9,UKKFinancial and insurance activities,2178,0.336
